iter	Passed	Remaining
125	46827	138996
126	47192	138604
127	47588	138303
128	47929	137844
129	48299	137468
130	48670	137093
131	49028	136684
132	49434	136410
133	49822	136082
134	50163	135626
135	50493	135144
136	50835	134695
137	51198	134303
138	51577	133953
139	51954	133598
140	52247	133028
141	52578	132556
142	52908	132085
143	53248	131640
144	53593	131210
145	53893	130672
146	54288	130365
147	54615	129896
148	54989	129539
149	55373	129204
150	55698	128733
151	56111	128465
152	56472	128078
153	56848	127724
154	57201	127318
155	57960	127809
156	58352	127484
157	58716	127095
158	59115	126781
159	59514	126468
160	59876	126075
161	60215	125634
162	60536	125159
163	60893	124758
164	61242	124340
165	61602	123947
166	61949	123528
167	62294	123105
168	62639	122683
169	62992	122280
170	63378	121939
171	63753	121575
172	64118	121194
173	64442	120736
174	64838	120413
175	65195	120018
176	65530	119584
177	65914	119238
178	66264	118831
179	66620	118435
180	66965	118022
181	67331	117645
182	67735	117334
183	68132	117009
184	68467	116579
185	68837	116209
186	69251	115913
187	69663	115612
188	69973	115141
189	70342	114769
190	70691	114364
191	71020	113928
192	71369	113526
193	71718	113122
194	72112	112791
195	72917	113096
196	73263	112684
197	73671	112367
198	74005	111938
199	74354	111532
200	74708	111133
201	75037	110698
202	75424	110349
203	75781	109957
204	76164	109602
205	76521	109209
206	76817	108731
207	77213	108396
208	77577	108014
209	77943	107635
210	78319	107272
211	78734	106960
212	79094	106573
213	79415	106134
214	79714	105667
215	80081	105291
216	80486	104966
217	80827	104556
218	81169	104148
219	81546	103787
220	81901	103395
221	82189	102921
222	82547	102536
223	82934	102187
224	83334	101853
225	83668	101439
226	83966	100981
227	84319	100592
228	84700	100234
229	85035	99824
230	85398	99446
231	85766	99075
232	86130	98699
233	86522	98354
234	86867	97956
235	87254	97606
236	88057	97717
237	88470	97391
238	88838	97016
239	89193	96626
240	89551	96239
241	89909	95853
242	90279	95481
243	90576	95031
244	90921	94632
245	91246	94213
246	91644	93870
247	92022	93507
248	92420	93163
249	92762	92762
250	93130	92388
251	93521	92037
252	93816	91591
253	94153	91188
254	94500	90794
255	94853	90407
256	95258	90069
257	95676	89743
258	96071	89394
259	96452	89033
260	96806	88646
261	97147	88248
262	97531	87889
263	97908	87524
264	98298	87170
265	98596	86734
266	98932	86334
267	99306	85966
268	99663	85584
269	99979	85167
270	100299	84754
271	100664	84380
272	100955	83944
273	101345	83591
274	101712	83219
275	102084	82851
276	102615	82610
277	103358	82537
278	103696	82139
279	104028	81736
280	104381	81350
281	104679	80922
282	104998	80511
283	105319	80102
284	105674	79719
285	106004	79318
286	106338	78920
287	106689	78535
288	107093	78189
289	107460	77816
290	107806	77427
291	108223	77090
292	108531	76675
293	108906	76308
294	109294	75950
295	109683	75592
296	109973	75167
297	110258	74739
298	110600	74350
299	110952	73968
300	111361	73624
301	111739	73259
302	112139	72909
303	112517	72544
304	112832	72139
305	113166	71746
306	113507	71358
307	113852	70973
308	114155	70562
309	114579	70226
310	114899	69826
311	115240	69439
312	115578	69051
313	115898	68653
314	116224	68258
315	116588	67886
316	116908	67489
317	117250	67105
318	118095	67006
319	118475	66642
320	118813	66254
321	119238	65914
322	119637	65559
323	119956	65161
324	120285	64769
325	120629	64384
326	121000	64015
327	121383	63652
328	121754	63282
329	122144	62922
330	122443	62516
331	122774	62126
332	123121	61745
333	123464	61362
334	123801	60976
335	124196	60619
336	124501	60218
337	124861	59844
338	125265	59491
339	125617	59114
340	126003	58752
341	126364	58378
342	126689	57989
343	127039	57610
344	127382	57229
345	127703	56839
346	128094	56479
347	128422	56092
348	128720	55692
349	129064	55313
350	129443	54948
351	129787	54569
352	130170	54207
353	130514	53828
354	130859	53449
355	131269	53097
356	131657	52736
357	132045	52375
358	132453	52021
359	133251	51820
360	133586	51436
361	133915	51050
362	134341	50702
363	134738	50341
364	135104	49970
365	135456	49593
366	135784	49207
367	136173	48844
368	136591	48491
369	137008	48138
370	137382	47768
371	137696	47379
372	138022	46994
373	138383	46621
374	138786	46262
375	139097	45872
376	139477	45505
377	139798	45120
378	140145	44742
379	140482	44362
380	140801	43977
381	141179	43610
382	141559	43244
383	141923	42872
384	142288	42501
385	142654	42131
386	143018	41759
387	143443	41406
388	143802	41033
389	144152	40658
390	144514	40286
391	144866	39912
392	145219	39538
393	145532	39153
394	145858	38772
395	146244	38407
396	146599	38034
397	146994	37672
398	147370	37304
399	148208	37052
400	148611	36689
401	148963	36314
402	149296	35935
403	149695	35571
404	150041	35194
405	150317	34802
406	150660	34426
407	150972	34042
408	151311	33665
409	151714	33303
410	152038	32923
411	152400	32551
412	152736	32174
413	153098	31803
414	153438	31427
415	153802	31056
416	154213	30694
417	154492	30307
418	154888	29942
419	155282	29577
420	155591	29196
421	155927	28820
422	156276	28447
423	156680	28084
424	156998	27705
425	157350	27333
426	157689	26958
427	158130	26601
428	158484	26229
429	158811	25853
430	159148	25478
431	159462	25100
432	159832	24731
433	160202	24362
434	160609	23999
435	160974	23629
436	161321	23256
437	161713	22890
438	162039	22515
439	162374	22142
440	163185	21832
441	163587	21466
442	163980	21099
443	164327	20725
444	164716	20358
445	165106	19990
446	165485	19621
447	165826	19247
448	166149	18872
449	166555	18506
450	166935	18137
451	167271	17763
452	167665	17395
453	168050	17027
454	168395	16654
455	168739	16281
456	169063	15907
457	169416	15536
458	169759	15163
459	170095	14790
460	170428	14418
461	170788	14047
462	171163	13678
463	171512	13306
464	171879	12937
465	172246	12567
466	172629	12198
467	172983	11827
468	173356	11458
469	173691	11086
470	174034	10715
471	174430	10347
472	174755	9975
473	175104	9604
474	175515	9237
475	175918	8869
476	176260	8498
477	176628	8129
478	176968	7758
479	177292	7387
480	178140	7036
481	178539	6667
482	178907	6296
483	179254	5925
484	179604	5554
485	179942	5183
486	180264	4811
487	180640	4441
488	181049	4072
489	181384	3701
490	181736	3331
491	182030	2959
492	182385	2589
493	182720	2219
494	183068	1849
495	183470	1479
496	183833	1109
497	184117	739
498	184475	369
499	184814	0
