iter	RMSE
377	3.957944706
378	3.957420155
379	3.956419114
380	3.955588702
381	3.954840406
382	3.953867407
383	3.952905015
384	3.95175313
385	3.951178445
386	3.950404036
387	3.94945171
388	3.949135814
389	3.948215623
390	3.947116311
391	3.946427319
392	3.945825009
393	3.945156783
394	3.944559207
395	3.943458177
396	3.942381977
397	3.941703605
398	3.941222177
399	3.940623144
400	3.939947563
401	3.939159669
402	3.938330397
403	3.937797813
404	3.937334939
405	3.936837521
406	3.935898319
407	3.935329365
408	3.934503933
409	3.933844344
410	3.932856542
411	3.932212716
412	3.931360245
413	3.930307295
414	3.929681727
415	3.929048793
416	3.928029403
417	3.92747489
418	3.926971327
419	3.926224002
420	3.925728298
421	3.925309211
422	3.924454346
423	3.923339876
424	3.922405036
425	3.921902653
426	3.921496704
427	3.9207251
428	3.920023354
429	3.919560884
430	3.918927612
431	3.918318247
432	3.917625794
433	3.916900006
434	3.916318597
435	3.915240162
436	3.914839916
437	3.914043508
438	3.913546095
439	3.913175553
440	3.912521217
441	3.911557923
442	3.910839103
443	3.910330896
444	3.909823834
445	3.909222203
446	3.908538539
447	3.908174554
448	3.907571711
449	3.906938907
450	3.906094378
451	3.905630008
452	3.90482587
453	3.904291868
454	3.903848275
455	3.903332279
456	3.902882633
457	3.902287336
458	3.901604603
459	3.900897017
460	3.900411228
461	3.899671315
462	3.899299901
463	3.898396309
464	3.897912762
465	3.897378548
466	3.896871865
467	3.89630431
468	3.895882189
469	3.895524196
470	3.894875679
471	3.894102987
472	3.893480626
473	3.892983943
474	3.892242111
475	3.891334145
476	3.890755263
477	3.889883874
478	3.889280936
479	3.888727041
480	3.888265716
481	3.887745788
482	3.887152972
483	3.886728659
484	3.886181554
485	3.885713819
486	3.885189517
487	3.88488592
488	3.883888568
489	3.883596875
490	3.883232297
491	3.882585574
492	3.881796414
493	3.881337235
494	3.880764109
495	3.880289324
496	3.879742943
497	3.879293455
498	3.878681358
499	3.878314524
